#Re    B    Pe    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    
# Index 000
6.0000e+02    3.0000e+00    6.0000e+01    5.5000e+01    1.1000e+02    1.3112e+00    1.3809e-01    1.3327e+00    1.5083e-01    6.0123e-01    6.4389e-02    7.0325e+00    1.0262e+00    2.9780e-01    1.9304e-02    3.5877e+00    6.2369e-01    1.6704e+02    4.8577e+01    6.7705e-01    2.6675e-02    3.3530e-01    3.5596e-02    2.9098e-01    2.8022e-02    2.9731e-01    1.8990e-02    3.0059e-01    1.9227e-02    
# Re = 600.00, Pe =  60.00, B =  30.00
6.0000e+02    3.0000e+01    6.0000e+01    3.5000e+01    8.0000e+01    1.3223e+00    8.9906e-02    1.0996e+00    7.1727e-02    3.5215e-01    3.7347e-02    3.9650e+00    4.6754e-01    9.7398e-02    7.5612e-03    3.9245e-01    6.7509e-02    1.0776e+02    1.5689e+01    3.0043e-01    3.8411e-02    2.3293e-01    2.5398e-02    1.9072e-01    1.9053e-02    1.0192e-01    7.4201e-03    9.5696e-02    6.7260e-03    
# Re = 600.00, Pe =  60.00, B = 100.00
6.0000e+02    1.0000e+02    6.0000e+01    4.5000e+01    1.6000e+02    1.3369e+00    5.3251e-02    1.7563e+00    4.8565e-02    1.8807e-01    2.2397e-02    2.3657e+00    2.6865e-01    3.8207e-02    3.2400e-03    8.0699e-02    1.5964e-02    1.4362e+02    1.6439e+01    4.3274e-02    1.6262e-02    1.3394e-01    1.9385e-02    8.3106e-02    8.9952e-03    4.5267e-02    4.4234e-03    3.8006e-02    3.3278e-03    
# Re = 600.00, Pe =  60.00, B = 180.00
6.0000e+02    1.8000e+02    6.0000e+01    4.0000e+01    9.0000e+01    1.2474e+00    9.5696e-02    1.3692e+00    1.3094e-01    1.3562e-01    3.4359e-02    2.3325e+00    4.0862e-01    2.7657e-02    3.8078e-03    5.2080e-02    1.5768e-02    1.8735e+02    4.7185e+01    3.2897e-02    1.7501e-02    1.3265e-01    5.0370e-02    7.1663e-02    1.6647e-02    3.5140e-02    7.3694e-03    2.7518e-02    3.8276e-03    
# Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    6.0000e+01    4.0000e+01    8.0000e+01    1.2468e+00    9.5507e-02    1.3668e+00    1.0740e-01    8.1671e-02    1.3725e-02    2.0716e+00    1.7378e-01    1.9140e-02    1.7967e-03    2.7238e-02    5.0888e-03    1.8965e+02    4.1868e+01    1.2396e-02    5.7985e-03    6.9237e-02    3.0636e-02    4.3021e-02    6.1924e-03    2.3725e-02    3.5799e-03    1.9211e-02    1.7528e-03    



# Index 006
# Re = 1000.00, Pe = 100.00, B =  10.00
1.0000e+03    1.0000e+01    1.0000e+02    7.0000e+01    1.1000e+02    1.1656e+00    1.1080e-01    1.0870e+00    1.0322e-01    4.6119e-01    4.0854e-02    6.8678e+00    7.6371e-01    1.7700e-01    1.6570e-02    1.6865e+00    2.6131e-01    1.8080e+02    3.4095e+01    5.9776e-01    2.0483e-02    2.9074e-01    3.1584e-02    2.5303e-01    2.5139e-02    1.7383e-01    2.0551e-02    1.7065e-01    2.0778e-02    
# Re = 1000.00, Pe = 100.00, B = 100.00
1.0000e+03    1.0000e+02    1.0000e+02    4.0000e+01    7.0000e+01    1.7249e+00    4.1444e-02    1.1912e+00    7.6988e-02    2.4608e-01    2.6920e-02    3.9647e+00    7.5443e-01    4.6784e-02    4.2501e-03    1.7654e-01    3.6647e-02    2.2294e+02    3.4808e+01    1.1908e-01    1.2258e-02    1.7380e-01    9.0760e-03    1.1271e-01    5.5946e-03    5.3000e-02    1.6593e-03    4.5608e-02    1.8398e-03    



# Index 007
# Re = 300.00, Pe =  30.00, B =  10.00
3.0000e+02    1.0000e+01    3.0000e+01    5.0000e+01    2.5000e+02    1.1815e+00    8.8221e-02    1.1616e+00    1.0222e-01    4.5380e-01    4.6577e-02    3.7265e+00    4.3383e-01    1.7561e-01    1.4488e-02    6.7126e-01    1.2658e-01    6.1103e+01    1.2101e+01    4.2819e-01    3.5689e-02    2.9822e-01    3.2290e-02    2.5346e-01    2.5540e-02    1.7990e-01    1.4822e-02    1.7387e-01    1.4899e-02    



