#Re    Pe    B    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    uh_rms    uh_rms_err    
# Index 000
6.0002e+02    6.0002e+01    1.0000e+03    5.0000e+02    9.0000e+02    3.1938e+00    2.6282e-01    1.1412e+00    7.1719e-02    3.9872e-02    3.1729e-02    2.1748e+00    4.4547e-01    6.9217e-03    9.7014e-04    7.1231e-03    2.6903e-03    4.2924e+02    7.2003e+01    1.4611e-03    2.9905e-03    7.3554e-02    7.1072e-02    1.1187e-02    7.1193e-03    1.2584e-02    7.5440e-03    6.8016e-03    8.8954e-04    3.3938e+00    2.4293e-01    
# Re = 600.02, Pe =  60.00, B = 3000.00
6.0002e+02    6.0002e+01    3.0000e+03    6.5000e+02    9.0000e+02    2.3638e+00    3.7386e-01    1.4817e+00    1.3852e-01    1.2561e-02    1.9826e-03    1.8256e+00    1.7234e-01    3.1366e-03    3.2790e-04    1.6663e-03    4.3257e-04    3.5411e+02    7.6098e+01    0.0000e+00    0.0000e+00    nan    nan    4.4131e-03    6.5780e-04    nan    nan    3.0954e-03    2.8040e-04    2.8046e+00    2.7639e-01    
# Re = 600.02, Pe =  60.00, B = 6000.00
6.0002e+02    6.0002e+01    6.0000e+03    4.0000e+01    1.8000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    0.0000e+00    0.0000e+00    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    



# Index 003
# Re = 1000.00, Pe =  10.00, B =   3.00
1.0000e+03    1.0000e+01    3.0000e+00    3.5000e+01    4.0000e+01    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Re = 1000.00, Pe =  10.00, B = 100.00
1.0000e+03    1.0000e+01    1.0000e+02    3.5000e+01    7.0000e+01    2.2663e+00    2.3541e-01    1.2161e+00    1.6203e-01    2.4979e-01    3.2429e-02    9.1582e+00    1.3135e+00    2.6264e-02    4.7633e-03    2.4810e-02    5.6951e-03    3.8210e+02    8.5888e+01    3.7474e-01    2.9007e-02    1.1363e-01    8.3740e-03    8.0626e-02    3.8637e-03    2.5792e-02    7.2098e-04    2.5281e-02    1.1722e-03    2.5832e+00    1.5324e-01    
# Re = 1000.00, Pe =  10.00, B = 1000.00
1.0000e+03    1.0000e+01    1.0000e+03    9.4000e+01    9.5000e+01    3.1844e+00    2.5974e-02    9.9124e-01    2.8696e-02    4.7555e-02    1.5884e-03    2.3354e+00    2.3867e-02    3.5178e-03    2.7901e-05    1.0138e-03    3.0654e-05    4.2395e+02    1.7276e+01    3.3050e-03    0.0000e+00    5.7044e-02    0.0000e+00    1.3666e-02    0.0000e+00    4.7053e-03    0.0000e+00    3.4773e-03    0.0000e+00    3.3353e+00    1.6369e-02    



# Index 004
# Re = 1000.00, Pe = 100.00, B =   3.00
1.0000e+03    1.0000e+02    3.0000e+00    6.5000e+01    9.0000e+01    2.1797e+00    1.3617e-01    1.1190e+00    1.1263e-01    7.7906e-01    7.0858e-02    1.3167e+01    1.1683e+00    4.1305e-01    4.6100e-02    8.5353e+00    1.5645e+00    5.5344e+02    9.1397e+01    7.7102e-01    1.7354e-02    3.0505e-01    3.1584e-02    2.8083e-01    2.9303e-02    3.8675e-01    6.5630e-02    3.9384e-01    6.8175e-02    2.4532e+00    1.2774e-01    
# Re = 1000.00, Pe = 100.00, B =  10.00
1.0000e+03    1.0000e+02    1.0000e+01    3.0000e+01    7.0000e+01    2.1541e+00    1.4167e-01    1.1271e+00    1.0315e-01    6.5295e-01    6.0050e-02    1.1983e+01    1.3771e+00    2.2722e-01    1.8236e-02    3.0733e+00    5.2274e-01    4.9444e+02    1.0715e+02    6.9052e-01    3.0052e-02    2.7703e-01    3.4280e-02    2.4827e-01    3.1708e-02    2.2336e-01    3.2222e-02    2.2322e-01    3.3341e-02    2.4346e+00    1.1696e-01    
# Re = 1000.00, Pe = 100.00, B =  30.00
1.0000e+03    1.0000e+02    3.0000e+01    5.0000e+01    9.0000e+01    2.1458e+00    1.9562e-01    1.1432e+00    1.4606e-01    4.5997e-01    6.2671e-02    9.8096e+00    1.2660e+00    1.1371e-01    1.4729e-02    9.8372e-01    2.2210e-01    4.0956e+02    8.1081e+01    5.2241e-01    4.1969e-02    2.0733e-01    3.0896e-02    1.6980e-01    2.7761e-02    1.2339e-01    3.2384e-02    1.1793e-01    3.4345e-02    2.4392e+00    1.4552e-01    
# Re = 1000.00, Pe = 100.00, B = 100.00
